Year,ENSO,ENSO_var,ENSO_short,PDO
1305,1.216,1.043,-0.586,
1306,0.455,1.401,0.828,
1307,-1.582,1.33,0.346,
1308,-0.749,1.343,-1.753,
1309,0.261,1.107,-0.23,
1310,0.775,1.105,0.137,
1311,0.169,1.124,-0.255,
1312,-0.596,1.108,-0.195,
1313,1.273,1.137,0.449,
1314,1.926,1.309,1.502,
1315,-0.892,1.233,-0.783,
1316,-2.962,1.22,-1.802,
1317,0.054,1.213,-1.696,
1318,1.085,1.167,-0.801,
1319,-0.127,1.214,0.182,
1320,-0.122,1.249,-0.346,
1321,1.243,1.22,0.738,
1322,0.128,1.23,-0.412,
1323,-0.671,1.248,-0.77,
1324,-1.505,1.174,-1.079,
1325,0.718,1.164,-1.481,
1326,1.128,1.091,-0.142,
1327,0.277,0.895,0.287,
1328,-1.317,1.021,0.255,
1329,-1.08,0.999,0.201,
1330,0.818,1.017,0.63,
1331,0.345,1.004,-0.123,
1332,0.476,0.949,-0.112,
1333,1.1,0.949,0.056,
1334,0.37,0.886,-0.231,
1335,-1.636,0.72,-0.179,
1336,-0.388,0.746,-1.965,
1337,1.468,0.815,0.097,
1338,-1.278,0.829,-0.356,
1339,0.332,0.725,-0.188,
1340,-0.346,0.694,-0.839,
1341,0.231,0.672,-0.179,
1342,-0.266,0.763,0.732,
1343,0.124,0.876,-0.313,
1344,0.023,0.831,-0.887,
1345,0.507,0.923,0.03,
1346,0.996,0.807,0.452,
1347,-1.225,0.842,0.798,
1348,-0.374,0.737,-0.096,
1349,0.876,0.724,-0.204,
1350,-0.844,0.909,-0.558,
1351,-0.248,0.923,0.286,
1352,-1.022,0.923,0.066,
1353,1.391,0.916,-0.03,
1354,0.807,0.909,0.405,
1355,-1.734,0.924,-0.44,
1356,0.77,0.952,-0.018,
1357,0.7,0.927,0.544,
1358,0.248,1.009,0.564,
1359,1.442,1.154,0.114,
1360,-1.78,1.122,-0.819,
1361,-0.582,1.103,0.546,
1362,0.17,1.154,0.296,
1363,-0.128,1.052,-0.343,
1364,-0.281,0.984,0.802,
1365,-0.38,1.037,-0.233,
1366,0.875,0.874,0.393,
1367,-0.476,0.865,-0.399,
1368,1.759,0.897,1.407,
1369,-1.764,0.978,-0.77,
1370,0.457,0.959,-0.89,
1371,-0.61,0.778,-1.12,
1372,0.62,0.848,-1.228,
1373,0.463,0.912,-1.052,
1374,0.889,0.995,1.325,
1375,-0.923,0.973,-1.322,
1376,-0.636,1.068,-0.653,
1377,-0.366,0.937,-0.574,
1378,0.936,0.923,-0.123,
1379,-1.169,0.764,-0.613,
1380,1.322,0.667,0.24,
1381,-0.075,0.658,1.424,
1382,-1.217,0.686,-1.018,
1383,1.099,0.683,-1.436,
1384,-0.715,0.693,0.099,
1385,0.613,0.671,0.77,
1386,0.674,0.653,0.137,
1387,-0.033,0.709,-0.823,
1388,-0.161,0.695,-0.561,
1389,-0.574,0.76,-1.418,
1390,-1.019,0.701,-1.839,
1391,0.309,0.609,-0.665,
1392,0.858,0.607,0.305,
1393,-0.629,0.546,0.635,
1394,0.593,0.616,0.861,
1395,0.675,0.581,-0.229,
1396,0.619,0.576,-0.77,
1397,-1.225,0.749,-0.639,
1398,0.085,0.766,-1.194,
1399,-1.449,0.949,-1.731,
1400,0.324,0.912,-0.943,
1401,0.369,0.879,-0.564,
1402,0.084,0.938,0.386,
1403,-0.676,1.103,0.043,
1404,1.683,1.311,2.24,
1405,-0.171,1.333,-0.178,
1406,0.548,1.348,-0.772,
1407,-2.053,1.34,-1.226,
1408,0.541,1.249,0.364,
1409,1.479,1.32,0.864,
1410,-0.334,1.266,-0.987,
1411,-0.831,1.243,-0.512,
